year month day hour minute second millisecond direction;
2024 10 20 13 22 28 797.274 cold;
2024 10 20 13 22 29 125.218 cold;
2024 10 20 13 22 37 795.346 cold;
2024 10 20 13 22 38 5.224 cold;
2024 10 20 13 22 44 515.282 warm;
2024 10 20 13 22 44 726.551 warm;
2024 10 20 13 22 44 937.698 warm;
2024 10 20 13 22 46 16.596 warm;
2024 10 20 13 22 46 274.07 warm;
2024 10 20 13 22 46 475.358 warm;
2024 10 20 13 22 46 896.278 warm;
2024 10 20 13 22 47 748.065 warm;
2024 10 20 13 22 47 898.208 warm;
2024 10 20 13 22 48 44.857 warm;
2024 10 20 13 22 48 636.264 warm;
2024 10 20 13 22 49 236.706 warm;
2024 10 20 13 23 2 224.463 cold;
2024 10 20 13 23 3 334.786 cold;
2024 10 20 13 23 3 586.948 cold;
2024 10 20 13 23 3 865.284 cold;
2024 10 20 13 23 4 117.488 cold;
2024 10 20 13 23 4 544.343 cold;
2024 10 20 13 23 5 63.337 cold;
2024 10 20 13 23 5 474.64 cold;
2024 10 20 13 23 13 653.847 warm;
2024 10 20 13 23 13 897.247 warm;
2024 10 20 13 23 14 239.539 warm;
2024 10 20 13 23 17 8.492 cold;
2024 10 20 13 23 17 516.327 cold;
2024 10 20 13 23 17 747.536 cold;
2024 10 20 13 23 21 738.861 warm;
2024 10 20 13 23 22 786.235 warm;
2024 10 20 13 23 26 770.244 warm;
2024 10 20 13 23 27 890.255 warm;
2024 10 20 13 23 28 79.984 warm;
2024 10 20 13 23 28 229.621 warm;
2024 10 20 13 23 28 670.229 warm;
2024 10 20 13 23 29 17.806 warm;
2024 10 20 13 52 16 14.227 warm;
2024 10 20 13 52 17 448.349 warm;
2024 10 20 13 52 17 832.432 warm;
2024 10 20 13 52 19 64.012 warm;
2024 10 20 13 52 19 725.152 warm;
2024 10 20 14 40 13 449.048 warm;
2024 10 20 14 40 18 567.347 warm;
2024 10 20 14 40 20 837.743 warm;
2024 10 20 14 40 20 894.791 warm;
2024 10 20 14 40 21 867.369 warm;
2024 10 20 14 40 21 909.433 warm;
2024 10 20 14 40 22 559 warm;
2024 10 20 14 40 22 606.322 warm;
2024 10 20 14 40 35 436.474 cold;
2024 10 20 14 40 35 488.009 cold;
2024 10 20 14 40 36 357.895 cold;
2024 10 20 14 40 36 405.66 cold;
2024 10 20 14 40 39 396.041 warm;
2024 10 20 14 40 39 448.519 warm;
2024 10 20 14 40 42 128.432 warm;
2024 10 20 14 40 42 180.942 warm;
2024 10 20 14 40 47 908.086 cold;
2024 10 20 14 40 47 955.993 cold;
2024 10 20 14 40 48 816.692 cold;
2024 10 20 14 40 48 868.345 cold;
2024 10 20 14 40 56 69.614 warm;
2024 10 20 14 40 56 117.761 warm;
2024 10 20 14 40 57 46.215 warm;
2024 10 20 14 40 57 88.798 warm;
2024 10 20 14 41 20 680.436 cold;
2024 10 20 14 41 20 727.802 cold;
2024 10 20 14 41 26 650.916 cold;
2024 10 20 14 41 26 698.135 cold;
2024 10 20 14 41 38 391.234 warm;
2024 10 20 14 41 38 439.424 warm;
2024 10 20 14 41 39 138.726 warm;
2024 10 20 14 41 39 190.671 warm;
2024 10 20 14 41 49 812.768 cold;
2024 10 20 14 41 49 861.891 cold;
2024 10 20 14 41 50 739.963 cold;
2024 10 20 14 41 50 792.366 cold;
2024 10 20 14 43 14 295.519 warm;
2024 10 20 14 43 14 342.701 warm;
2024 10 20 14 43 22 653.367 cold;
2024 10 20 14 43 22 705.509 warm;
2024 10 20 14 43 26 713.88 warm;
2024 10 20 14 43 26 766.73 warm;
2024 10 20 14 43 27 384.507 warm;
2024 10 20 14 43 27 436.447 warm;
2024 10 20 14 43 28 486.795 warm;
2024 10 20 14 43 28 543.785 warm;
2024 10 20 14 43 34 642.65 cold;
2024 10 20 14 43 35 233.392 cold;
2024 10 20 14 43 35 285.571 cold;
2024 10 20 14 43 37 465.106 warm;
2024 10 20 14 43 37 517.236 warm;
2024 10 20 14 43 39 293.915 cold;
2024 10 20 14 43 39 345.974 cold;
2024 10 20 14 43 39 834.778 warm;
2024 10 20 14 43 39 886.965 warm;
2024 10 20 14 43 40 385.829 cold;
2024 10 20 14 43 40 432.527 cold;
