year month day hour minute second millisecond direction;
2024 10 10 10 5 25 165.947 warm;
2024 10 10 10 5 27 317.395 warm;
2024 10 10 10 5 27 993.747 warm;
2024 10 10 10 5 40 503.229 warm;
2024 10 10 10 5 40 556.466 warm;
2024 10 10 10 5 40 786.191 warm;
2024 10 10 10 5 41 97.737 warm;
2024 10 10 10 5 41 156.528 warm;
2024 10 10 10 5 41 398.587 warm;
2024 10 10 10 5 41 446.008 warm;
2024 10 10 10 5 41 748.848 warm;
2024 10 10 10 5 41 805.896 warm;
2024 10 10 11 19 20 262.418 warm;
2024 10 10 11 19 20 522.191 warm;
2024 10 10 11 19 20 884.083 warm;
2024 10 10 11 19 23 33.4 warm;
2024 10 10 11 19 23 90.746 warm;
2024 10 10 11 19 24 680.851 warm;
2024 10 10 11 19 25 260.195 warm;
2024 10 10 11 19 25 980.373 warm;
2024 10 10 11 19 26 300.724 warm;
2024 10 10 11 19 26 940.603 warm;
2024 10 10 11 19 27 253.477 warm;
2024 10 10 11 19 27 801.083 warm;
2024 10 10 11 19 28 72.602 warm;
2024 10 10 11 19 28 348.839 warm;
2024 10 10 11 19 28 899.924 warm;
2024 10 10 11 19 29 180.957 warm;
2024 10 10 11 19 29 451.874 warm;
2024 10 10 11 19 29 702.478 warm;
2024 10 10 11 19 29 963.869 warm;
2024 10 10 11 19 30 210.202 warm;
2024 10 10 11 19 30 491.363 warm;
2024 10 10 11 19 30 741.697 warm;
2024 10 10 11 19 31 12.551 warm;
2024 10 10 11 19 31 262.917 warm;
2024 10 10 11 19 31 533.621 warm;
2024 10 10 11 19 31 789.391 warm;
2024 10 10 11 19 32 300.502 warm;
2024 10 10 11 19 38 403.529 warm;
2024 10 10 11 19 38 583.108 warm;
2024 10 10 11 19 38 624.64 warm;
2024 10 10 11 19 38 763.56 warm;
2024 10 10 11 19 43 105.181 cold;
2024 10 10 11 19 44 830.068 cold;
2024 10 10 11 19 46 71.034 cold;
2024 10 10 11 19 47 959.817 cold;
2024 10 10 11 19 48 403.389 cold;
2024 10 10 11 19 48 661.326 cold;
2024 10 10 11 19 49 511.381 cold;
2024 10 10 11 19 50 609.073 cold;
2024 10 10 11 19 55 44.888 warm;
2024 10 10 11 19 55 570.665 warm;
2024 10 10 11 19 55 811.868 warm;
2024 10 10 11 19 56 53.743 warm;
2024 10 10 11 19 56 274.218 warm;
2024 10 10 11 19 57 723.401 warm;
2024 10 10 11 19 59 453.671 warm;
2024 10 10 11 19 59 712.387 warm;
2024 10 10 11 22 41 818.504 warm;
2024 10 10 11 22 42 938.238 warm;
2024 10 10 11 22 46 569.343 warm;
2024 10 10 11 22 49 711.874 warm;
2024 10 10 11 22 53 740.626 warm;
2024 10 10 11 23 1 742.732 warm;
2024 10 10 11 23 2 680.305 warm;
2024 10 10 12 37 59 847.308 cold;
2024 10 10 12 38 1 306.767 warm;
2024 10 10 12 38 2 154.787 warm;
2024 10 10 12 38 8 185.404 cold;
2024 10 10 12 38 8 233.583 cold;
2024 10 10 12 38 8 753.534 cold;
2024 10 10 12 38 9 355.735 cold;
2024 10 10 12 38 10 844.181 cold;
2024 10 10 12 38 11 935.492 cold;
2024 10 10 12 38 21 65.301 cold;
2024 10 10 12 38 21 688.552 warm;
2024 10 10 12 38 30 276.374 warm;
2024 10 10 12 38 30 329.169 warm;
2024 10 10 12 38 30 897.491 warm;
2024 10 10 12 38 32 398.87 warm;
2024 10 10 12 38 32 446.017 warm;
2024 10 10 12 38 32 508.763 warm;
2024 10 10 12 38 33 166.979 warm;
2024 10 10 12 38 33 229.096 warm;
2024 10 10 12 38 33 715.685 warm;
2024 10 10 12 38 33 767.524 warm;
2024 10 10 12 38 34 219.315 warm;
2024 10 10 12 38 34 695.522 warm;
2024 10 10 12 38 34 747.494 warm;
2024 10 10 12 38 35 227.539 warm;
2024 10 10 12 38 36 894.659 cold;
2024 10 10 12 38 37 374.888 cold;
2024 10 10 12 38 37 427.391 cold;
2024 10 10 12 38 37 834.754 cold;
2024 10 10 12 38 37 886.759 cold;
2024 10 10 12 38 38 329.333 cold;
2024 10 10 12 38 38 736.849 cold;
2024 10 10 12 38 39 178.337 cold;
2024 10 10 12 38 39 230.351 cold;
2024 10 10 12 38 39 646.08 cold;
2024 10 10 12 38 40 159.121 cold;
2024 10 10 12 38 40 195.717 cold;
2024 10 10 12 38 40 607.091 cold;
2024 10 10 12 38 41 36.509 cold;
2024 10 10 12 38 41 496.822 cold;
2024 10 10 12 38 42 526.839 warm;
2024 10 10 12 38 43 15.128 warm;
2024 10 10 12 38 43 406.601 warm;
2024 10 10 12 38 43 869.16 warm;
2024 10 10 12 38 43 916.99 warm;
2024 10 10 12 38 44 289.408 warm;
2024 10 10 12 38 44 336.597 warm;
2024 10 10 12 38 45 208.589 warm;
2024 10 10 12 38 45 696.22 warm;
2024 10 10 12 38 46 318.302 warm;
2024 10 10 12 38 46 754.98 warm;
2024 10 10 12 38 47 237.322 warm;
2024 10 10 12 38 47 698.373 warm;
2024 10 10 12 38 48 209.032 warm;
2024 10 10 12 38 48 270.702 warm;
2024 10 10 12 38 49 550.132 cold;
2024 10 10 12 38 49 987.072 cold;
2024 10 10 12 38 50 507.985 cold;
2024 10 10 12 38 50 945.772 cold;
2024 10 10 12 38 51 38.9 cold;
2024 10 10 12 38 51 528.242 cold;
2024 10 10 12 38 52 6.896 cold;
2024 10 10 12 38 52 478.787 cold;
2024 10 10 12 38 52 927.131 cold;
2024 10 10 12 38 54 445.59 cold;
2024 10 10 12 38 55 349.51 cold;
2024 10 10 12 38 57 859.985 warm;
2024 10 10 12 38 58 408.68 warm;
2024 10 10 12 38 58 467.009 warm;
2024 10 10 12 38 58 818.347 warm;
2024 10 10 12 38 59 160.73 warm;
2024 10 10 12 38 59 506.136 warm;
2024 10 10 12 38 59 835.867 warm;
2024 10 10 12 39 0 174.946 warm;
2024 10 10 12 39 0 498.423 warm;
2024 10 10 12 39 0 786.278 warm;
2024 10 10 12 39 1 197.451 warm;
2024 10 10 12 39 8 529.555 cold;
2024 10 10 12 39 8 890.399 cold;
2024 10 10 12 39 8 937.919 cold;
2024 10 10 12 39 9 236.358 cold;
2024 10 10 12 39 9 288.81 cold;
2024 10 10 12 39 9 677.838 cold;
2024 10 10 12 39 9 726.335 cold;
2024 10 10 12 39 9 986.453 cold;
2024 10 10 12 39 10 38.864 cold;
2024 10 10 12 39 10 429.165 cold;
2024 10 10 12 39 10 476.388 cold;
2024 10 10 12 39 10 868.608 cold;
2024 10 10 12 39 10 910.881 cold;
2024 10 10 12 39 11 218.565 cold;
2024 10 10 12 39 14 0.082 warm;
2024 10 10 12 39 14 48.243 warm;
2024 10 10 12 39 15 241.734 cold;
2024 10 10 12 39 15 278.722 cold;
2024 10 10 12 39 16 947.576 warm;
2024 10 10 12 39 16 999.648 warm;
2024 10 10 12 39 18 170.006 warm;
2024 10 10 12 39 18 688.088 warm;
2024 10 10 12 39 19 237.862 warm;
2024 10 10 12 39 19 291.403 warm;
2024 10 10 12 39 19 677.784 warm;
2024 10 10 12 39 19 730.306 warm;
2024 10 10 12 39 20 147.605 warm;
2024 10 10 12 39 20 189.571 warm;
2024 10 10 12 39 20 620.348 warm;
2024 10 10 12 39 21 102.042 warm;
2024 10 10 12 39 21 986.696 warm;
2024 10 10 12 39 24 367.594 cold;
2024 10 10 12 39 30 997.113 warm;
2024 10 10 12 39 31 49.171 warm;
2024 10 10 12 39 31 560.695 warm;
2024 10 10 12 39 31 612.264 warm;
2024 10 10 12 39 32 158.382 warm;
2024 10 10 12 39 32 209.892 warm;
2024 10 10 12 39 32 750.853 warm;
2024 10 10 12 39 33 979.307 cold;
2024 10 10 12 39 34 539.084 cold;
2024 10 10 12 39 35 77.975 cold;
2024 10 10 12 39 35 607.051 cold;
2024 10 10 12 39 36 137.522 cold;
2024 10 10 12 39 36 640.686 cold;
2024 10 10 12 39 36 698.03 cold;
2024 10 10 12 39 37 149.765 cold;
2024 10 10 12 39 37 211.944 cold;
2024 10 10 12 39 37 698.356 cold;
2024 10 10 12 39 37 750.167 cold;
2024 10 10 12 39 38 221.416 cold;
2024 10 10 12 39 38 268.167 cold;
2024 10 10 12 39 38 749.127 cold;
2024 10 10 12 39 38 800.636 cold;
2024 10 10 12 39 39 351.932 cold;
2024 10 10 12 39 41 481.832 warm;
2024 10 10 12 39 41 528.655 warm;
2024 10 10 12 39 44 120.703 warm;
2024 10 10 12 39 44 671.034 warm;
2024 10 10 12 39 45 281.569 warm;
2024 10 10 12 39 45 390.411 warm;
2024 10 10 12 39 45 828.368 warm;
2024 10 10 12 39 45 880.168 warm;
2024 10 10 12 39 47 757.664 cold;
2024 10 10 12 39 47 819.788 cold;
2024 10 10 12 39 55 561.449 warm;
2024 10 10 12 39 55 608.427 warm;
2024 10 10 12 39 55 998.958 warm;
2024 10 10 12 39 56 51.05 warm;
2024 10 10 12 39 56 423.087 warm;
2024 10 10 12 39 56 839.493 warm;
2024 10 10 12 39 56 882.054 warm;
2024 10 10 12 39 57 200.399 warm;
2024 10 10 12 39 57 252.057 warm;
2024 10 10 12 39 57 548.411 warm;
2024 10 10 12 39 57 599.852 warm;
2024 10 10 12 39 57 931.807 warm;
2024 10 10 12 39 57 978.203 warm;
2024 10 10 12 39 58 330.547 warm;
2024 10 10 12 39 58 382.096 warm;
2024 10 10 12 39 58 892.396 cold;
2024 10 10 12 39 58 939.243 cold;
2024 10 10 12 39 59 240.618 cold;
2024 10 10 12 39 59 560.422 cold;
2024 10 10 12 39 59 919.306 cold;
2024 10 10 12 40 0 263.271 cold;
2024 10 10 12 40 0 999.881 cold;
2024 10 10 12 40 2 851.793 warm;
2024 10 10 12 40 2 898.938 warm;
2024 10 10 12 40 4 752.503 warm;
2024 10 10 12 40 4 799.462 warm;
2024 10 10 12 40 5 270.949 warm;
2024 10 10 12 40 5 702.614 warm;
2024 10 10 12 40 6 353.662 warm;
2024 10 10 12 40 6 579.153 warm;
2024 10 10 12 40 7 171.203 warm;
2024 10 10 12 40 9 759.569 cold;
2024 10 10 12 40 10 599.968 warm;
2024 10 10 12 40 11 248.723 cold;
2024 10 10 12 40 11 300.814 cold;
2024 10 10 12 40 11 683.165 cold;
2024 10 10 12 40 12 844.032 cold;
2024 10 10 12 40 14 619.314 cold;
2024 10 10 12 40 14 672.651 cold;
